HALL_bike_sum,WANDERING_bike_sum,SOUTHERN_SCH,NORTHERN_SCH,DE_AREA,C_AREA,MALL_AREA,COLONY_AREA,timeStamp
2817,560,1027,369,403,378,71,9,2022-11-17-16-52
2652,636,781,300,426,409,91,9,2022-11-17-17-02
2560,696,697,305,391,368,95,8,2022-11-17-17-14
2674,726,619,290,488,422,112,17,2022-11-17-17-28
2627,673,627,345,461,400,107,14,2022-11-17-17-41
2573,644,661,353,442,360,102,11,2022-11-17-17-55
2499,558,760,418,373,264,118,8,2022-11-17-18-09
2497,398,989,509,273,197,124,7,2022-11-17-18-22
2579,401,1120,551,186,187,126,8,2022-11-17-18-37
2515,414,1122,541,165,146,120,7,2022-11-17-18-48
2584,425,1149,576,167,139,120,8,2022-11-17-18-58
2577,435,1126,603,155,123,127,8,2022-11-17-19-08
2504,466,1005,614,163,121,128,7,2022-11-17-19-16
2616,487,1053,628,170,138,132,8,2022-11-17-19-26
2621,514,1032,619,181,126,141,8,2022-11-17-19-35
2665,537,1024,607,180,167,142,8,2022-11-17-19-46
2703,569,1003,604,188,192,139,8,2022-11-17-19-56
2716,608,958,574,236,193,139,8,2022-11-17-20-07
2700,622,891,570,247,222,138,10,2022-11-17-20-15
2687,659,794,555,270,261,139,9,2022-11-17-20-25
2614,733,673,525,266,270,138,9,2022-11-17-20-34
2723,767,636,478,356,327,144,15,2022-11-17-20-47
2659,850,465,423,399,357,149,16,2022-11-17-20-57
2618,870,451,403,396,337,144,17,2022-11-17-21-07
2757,928,390,383,475,427,138,16,2022-11-17-21-27
2760,929,356,377,479,461,141,17,2022-11-17-21-37
2308,802,306,367,276,402,136,19,2022-11-17-21-45
2657,977,287,324,458,457,134,20,2022-11-17-21-54
2735,954,283,317,536,491,133,21,2022-11-17-22-05
2382,955,265,316,237,450,138,21,2022-11-17-22-14
2688,961,240,318,511,498,139,21,2022-11-17-22-24
2441,915,227,324,302,512,141,20,2022-11-17-22-32
